customer_grade,quote_stage,quantity,estimated_amount,days_until_due,converted
D,유력,1,102000000,16,0
B,초기,3,49000000,11,0
A,유력,5,44000000,16,1
A,유력,5,18000000,20,1
A,초기,3,120000000,14,1
D,초기,3,119000000,18,0
A,초기,2,112000000,29,0
C,협의중,3,83000000,9,0
A,협의중,6,118000000,22,1
D,초기,4,69000000,30,0
B,유력,1,28000000,23,1
A,초기,6,92000000,23,0
B,초기,5,95000000,30,0
C,유력,6,116000000,16,1
D,협의중,4,69000000,29,0
B,협의중,3,65000000,12,0
B,초기,1,29000000,30,1
C,유력,5,25000000,24,0
B,유력,4,110000000,6,0
C,협의중,5,82000000,16,1
B,유력,3,89000000,26,1
B,초기,4,89000000,4,0
C,협의중,1,41000000,20,0
B,협의중,1,41000000,12,1
B,초기,6,21000000,8,0
A,협의중,3,38000000,26,1
B,유력,5,28000000,6,1
C,초기,1,52000000,31,0
B,협의중,3,45000000,35,1
B,초기,6,93000000,34,0
B,초기,5,25000000,3,0
D,유력,3,55000000,23,1
B,협의중,2,66000000,17,1
C,유력,1,68000000,5,1
B,초기,3,91000000,30,0
C,협의중,1,69000000,4,0
A,유력,4,106000000,26,1
C,초기,5,69000000,8,0
B,협의중,3,117000000,13,1
C,협의중,2,117000000,25,0
D,협의중,2,48000000,9,1
A,협의중,6,27000000,14,0
C,협의중,5,115000000,31,0
D,협의중,5,59000000,23,1
A,협의중,3,119000000,20,1
B,초기,4,75000000,5,1
C,초기,1,96000000,35,0
B,유력,6,23000000,31,0
B,초기,5,78000000,35,1
A,초기,3,109000000,8,0
A,초기,4,74000000,13,1
D,협의중,3,104000000,6,0
C,초기,1,89000000,27,0
C,협의중,5,37000000,24,1
C,유력,3,101000000,28,1
C,초기,5,66000000,24,0
C,유력,6,105000000,8,0
B,협의중,3,57000000,14,0
B,유력,2,46000000,11,1
B,유력,5,116000000,5,0
D,협의중,5,66000000,12,1
C,유력,2,110000000,31,1
B,협의중,4,96000000,21,0
C,초기,2,57000000,33,0
A,협의중,5,74000000,32,0
C,협의중,4,38000000,15,0
A,초기,6,79000000,26,0
A,유력,1,54000000,8,1
B,유력,2,73000000,8,0
A,협의중,3,21000000,29,1
B,초기,1,65000000,17,1
D,유력,6,60000000,12,1
B,유력,6,35000000,33,1
A,초기,3,45000000,12,0
C,협의중,1,117000000,21,1
A,초기,6,119000000,32,1
C,협의중,5,20000000,35,0
C,초기,1,96000000,25,0
B,협의중,1,85000000,26,1
B,협의중,5,88000000,4,0
B,협의중,3,50000000,4,1
A,초기,6,98000000,9,0
C,협의중,1,63000000,24,0
A,유력,4,107000000,33,1
C,초기,4,22000000,21,0
C,유력,3,57000000,35,1
C,협의중,1,114000000,15,1
D,초기,6,60000000,20,0
B,유력,6,74000000,27,1
A,협의중,3,120000000,20,0
C,초기,5,41000000,21,0
A,협의중,3,75000000,30,1
B,협의중,6,63000000,30,1
D,유력,1,103000000,28,0
C,협의중,1,36000000,31,1
A,유력,3,64000000,27,0
A,초기,4,65000000,26,0
A,초기,3,68000000,23,0
A,초기,6,41000000,34,0
D,초기,3,108000000,31,0
C,협의중,4,43000000,10,1
A,초기,6,74000000,8,0
D,유력,6,62000000,7,0
B,초기,2,109000000,14,0
B,초기,2,119000000,11,1
B,협의중,5,65000000,32,0
B,협의중,1,26000000,22,1
C,협의중,4,116000000,29,0
A,유력,6,27000000,31,1
B,초기,5,99000000,14,0
A,협의중,1,33000000,12,1
A,유력,2,62000000,21,1
B,협의중,5,53000000,11,0
C,초기,6,39000000,12,0
C,유력,3,90000000,5,0
A,초기,6,116000000,19,0
C,협의중,6,21000000,34,0
B,협의중,3,79000000,18,0
C,초기,1,106000000,6,0
B,협의중,3,95000000,12,1
C,협의중,3,69000000,11,0
B,초기,2,77000000,10,1
A,초기,3,67000000,29,1
D,초기,3,91000000,23,0
A,유력,4,81000000,22,1
A,협의중,4,48000000,16,1
A,초기,5,101000000,33,0
A,초기,2,51000000,26,0
B,협의중,5,89000000,15,1
B,협의중,4,115000000,20,0
C,협의중,2,30000000,28,1
D,협의중,3,114000000,12,0
B,협의중,1,22000000,11,0
C,협의중,2,95000000,35,1
D,협의중,4,96000000,22,0
B,협의중,4,108000000,22,0
A,협의중,1,71000000,22,0
C,협의중,1,94000000,33,1
C,유력,5,91000000,17,0
B,초기,6,110000000,27,0
C,초기,6,32000000,15,1
B,초기,6,44000000,29,0
C,협의중,6,111000000,6,0
B,협의중,6,79000000,27,1
A,유력,3,87000000,25,1
D,협의중,6,51000000,33,0
A,협의중,2,56000000,21,1
C,협의중,4,62000000,20,1
B,협의중,4,62000000,12,1
B,협의중,3,74000000,19,0
A,유력,3,89000000,20,1
C,협의중,2,24000000,17,0
A,협의중,6,78000000,9,1
A,유력,2,70000000,33,1
A,유력,3,54000000,6,0
A,협의중,5,112000000,5,0
A,유력,2,22000000,28,1
A,협의중,3,22000000,3,1
C,유력,3,54000000,32,0
B,협의중,2,82000000,32,1
C,협의중,6,76000000,19,0
A,협의중,3,90000000,15,1
D,유력,4,83000000,23,1
C,초기,2,79000000,23,0
A,협의중,4,114000000,20,0
B,협의중,1,51000000,26,0
A,초기,3,38000000,28,0
D,유력,3,106000000,10,0
D,협의중,2,46000000,11,0
B,유력,3,71000000,33,0
C,유력,2,105000000,8,1
B,협의중,5,32000000,6,0
D,초기,5,37000000,13,0
B,초기,2,109000000,34,1
B,유력,4,34000000,35,1
B,협의중,6,57000000,4,0
C,협의중,5,27000000,5,0
C,협의중,1,26000000,33,1
B,유력,6,111000000,29,1
D,협의중,4,66000000,8,0
C,협의중,6,62000000,10,1
B,협의중,6,46000000,3,0
D,협의중,6,87000000,30,0
C,초기,3,37000000,20,1
D,유력,1,102000000,29,0
D,유력,2,44000000,7,1
A,협의중,6,24000000,18,0
B,초기,2,114000000,6,0
D,초기,6,91000000,23,0
C,유력,2,56000000,12,0
B,협의중,3,25000000,14,0
B,협의중,3,100000000,27,0
B,협의중,2,56000000,27,1
B,초기,2,56000000,12,0
D,협의중,4,89000000,11,0
B,협의중,1,75000000,26,1
C,초기,3,66000000,5,0
A,유력,6,103000000,16,1
D,협의중,1,45000000,15,0
A,유력,4,49000000,16,1
A,협의중,3,66000000,32,1
B,초기,5,81000000,32,0
D,협의중,3,44000000,26,0
A,유력,6,36000000,4,1
D,협의중,4,55000000,12,1
A,협의중,2,81000000,24,1
C,유력,6,112000000,34,0
C,협의중,2,110000000,34,1
D,유력,1,85000000,5,0
A,유력,1,115000000,3,1
C,초기,6,37000000,3,0
B,초기,6,103000000,33,0
A,협의중,4,19000000,4,1
B,유력,1,82000000,30,0
D,초기,1,85000000,12,0
C,초기,3,52000000,28,1
D,협의중,2,107000000,17,0
C,초기,6,115000000,5,0
B,협의중,1,99000000,3,0
A,유력,6,118000000,24,1
D,초기,5,23000000,17,0
D,유력,4,52000000,5,0
C,초기,5,90000000,5,0
D,초기,2,93000000,12,0
C,협의중,1,56000000,13,0
B,유력,6,87000000,24,1
C,유력,6,110000000,8,0
D,초기,4,47000000,7,0
C,유력,4,117000000,23,1
B,유력,4,47000000,25,1
B,초기,5,102000000,27,0
C,유력,6,27000000,8,1
B,유력,2,112000000,27,1
A,초기,3,74000000,26,0
A,초기,4,75000000,35,1
A,협의중,1,94000000,23,0
A,협의중,1,110000000,18,1
A,협의중,2,52000000,22,1
A,초기,3,71000000,22,0
A,초기,2,110000000,34,0
A,초기,3,18000000,28,1
C,유력,3,74000000,24,1
C,협의중,5,35000000,22,0
D,초기,3,40000000,28,0
B,협의중,4,91000000,18,1
B,유력,3,32000000,15,1
B,협의중,5,21000000,32,0
A,유력,6,26000000,29,1
A,협의중,3,102000000,12,0
C,초기,5,79000000,28,0
D,유력,4,87000000,5,0
B,유력,5,94000000,8,1
A,협의중,2,100000000,5,0
C,협의중,3,119000000,30,1
A,초기,6,84000000,17,0
B,유력,5,106000000,35,1
D,협의중,3,71000000,8,1
D,초기,3,61000000,32,0
B,협의중,1,74000000,31,1
B,유력,1,20000000,24,1
C,초기,6,49000000,14,0
B,협의중,4,47000000,28,0
A,협의중,4,21000000,15,1
B,초기,2,44000000,20,0
C,초기,1,120000000,14,0
A,초기,6,80000000,23,0
C,협의중,3,63000000,32,0
C,협의중,3,96000000,8,0
B,초기,1,41000000,26,0
B,협의중,2,91000000,27,0
B,협의중,6,40000000,13,1
A,협의중,4,97000000,6,0
D,협의중,2,67000000,35,0
B,협의중,6,74000000,34,1
B,유력,2,55000000,5,1
B,초기,4,90000000,34,0
A,초기,5,64000000,5,0
B,초기,4,31000000,18,1
D,협의중,3,29000000,31,0
A,유력,2,112000000,25,0
C,협의중,5,35000000,16,0
C,협의중,5,53000000,13,1
C,초기,3,83000000,9,0
C,협의중,1,53000000,11,0
A,초기,3,49000000,28,0
B,초기,4,66000000,31,1
C,유력,4,83000000,20,0
D,협의중,4,59000000,3,0
C,초기,4,99000000,25,0
C,협의중,4,45000000,34,1
C,협의중,5,34000000,34,0
D,유력,1,30000000,32,1
D,초기,4,18000000,30,0
C,초기,6,56000000,13,0
D,초기,3,50000000,8,0
D,초기,4,98000000,22,0
C,협의중,1,108000000,9,1
B,초기,2,84000000,31,1
C,유력,4,106000000,11,1
A,초기,1,31000000,23,1
B,협의중,2,100000000,12,1
B,협의중,2,74000000,25,0
C,초기,4,96000000,31,0
A,초기,1,93000000,27,0
B,유력,2,53000000,8,1
C,협의중,3,117000000,4,0
C,협의중,5,95000000,35,0
B,협의중,2,81000000,27,1
B,협의중,5,19000000,26,0
A,유력,5,71000000,26,1
A,협의중,1,20000000,7,1
A,유력,4,82000000,21,1
B,협의중,6,69000000,8,0
B,초기,1,57000000,8,0
A,유력,5,59000000,28,1
C,협의중,6,26000000,22,0
C,유력,1,49000000,8,0
A,협의중,1,57000000,14,1
C,협의중,2,81000000,25,0
C,협의중,2,65000000,11,0
D,협의중,1,116000000,4,0
B,협의중,3,109000000,7,0
B,초기,5,39000000,26,1
C,유력,6,110000000,10,1
B,초기,1,49000000,5,0
B,초기,1,88000000,29,0
A,유력,3,52000000,7,1
A,협의중,1,40000000,17,0
D,유력,1,77000000,21,0
B,초기,4,19000000,26,1
B,협의중,5,49000000,32,1
D,유력,2,111000000,18,1
D,초기,5,62000000,3,0
A,협의중,6,111000000,22,1
B,초기,4,25000000,12,0
A,유력,5,70000000,26,1
C,협의중,5,35000000,28,1
B,협의중,2,48000000,21,1
B,유력,6,112000000,23,1
B,초기,2,35000000,9,1
A,협의중,4,33000000,25,0
A,협의중,3,33000000,8,1
C,유력,6,95000000,5,1
D,초기,6,49000000,25,0
A,초기,2,21000000,28,0
B,협의중,1,77000000,9,0
A,초기,2,34000000,15,0
B,협의중,6,28000000,19,0
A,유력,2,100000000,31,0
A,유력,3,33000000,5,0
A,유력,4,110000000,28,1
B,협의중,3,45000000,14,1
B,초기,5,97000000,18,0
B,유력,4,25000000,8,1
A,초기,5,49000000,4,0
C,협의중,5,118000000,34,0
B,협의중,3,41000000,4,1
A,유력,3,25000000,33,1
C,유력,2,30000000,18,1
B,유력,6,25000000,17,1
D,협의중,2,40000000,18,0
C,협의중,5,21000000,25,0
B,협의중,2,81000000,22,1
A,초기,5,46000000,4,0
A,유력,2,34000000,24,1
D,유력,3,25000000,4,1
C,초기,1,85000000,26,0
B,유력,4,93000000,9,1
B,유력,6,73000000,34,0
A,유력,6,96000000,25,1
B,초기,3,111000000,21,1
C,유력,5,68000000,5,1
B,유력,5,46000000,9,0
A,협의중,2,62000000,23,1
D,초기,6,103000000,24,0
B,초기,1,62000000,19,0
C,초기,4,111000000,29,0
D,협의중,4,62000000,27,1
B,유력,6,115000000,17,1
A,유력,3,20000000,23,1
A,협의중,4,38000000,7,1
D,초기,5,96000000,33,0
B,협의중,5,73000000,13,1
B,유력,4,107000000,19,0
B,초기,4,91000000,34,0
B,협의중,3,102000000,33,1
A,초기,3,28000000,33,0
B,협의중,4,102000000,19,1
B,초기,4,65000000,14,0
B,협의중,2,52000000,6,1
C,초기,6,62000000,29,0
B,협의중,4,84000000,29,0
C,유력,5,48000000,33,1
B,유력,1,82000000,12,1
C,초기,2,45000000,15,1
B,유력,4,43000000,12,0
B,유력,1,29000000,27,1
B,유력,5,76000000,3,0
C,협의중,4,32000000,29,1
B,협의중,1,31000000,9,0
D,유력,4,51000000,27,0
B,협의중,2,53000000,28,1
C,협의중,1,68000000,24,0
A,협의중,3,65000000,4,1
C,협의중,4,107000000,9,0
A,협의중,6,74000000,23,1
B,협의중,2,74000000,16,0
B,협의중,5,65000000,6,0
A,협의중,5,69000000,11,0
B,협의중,2,42000000,15,0
A,협의중,3,108000000,15,1
C,협의중,6,33000000,4,0
B,협의중,4,93000000,25,1
C,초기,6,29000000,21,1
A,유력,2,46000000,17,1
B,협의중,1,117000000,3,0
A,초기,1,46000000,19,0
D,협의중,6,100000000,20,0
B,협의중,3,45000000,32,1
B,협의중,5,31000000,3,0
C,유력,3,89000000,21,1
A,초기,3,99000000,23,0
B,협의중,6,56000000,15,1
C,유력,5,69000000,23,0
C,협의중,3,51000000,29,0
C,협의중,5,42000000,24,0
A,협의중,4,103000000,25,1
C,유력,5,41000000,21,1
A,초기,5,115000000,14,0
D,협의중,2,63000000,17,0
B,유력,3,65000000,19,1
B,초기,1,99000000,7,0
A,초기,6,66000000,22,0
D,초기,2,61000000,29,0
D,유력,2,58000000,14,0
B,협의중,2,58000000,6,1
B,유력,2,91000000,13,1
C,초기,5,73000000,30,0
D,협의중,1,86000000,15,0
D,유력,5,42000000,4,0
C,초기,6,62000000,22,0
B,협의중,2,26000000,5,1
B,협의중,5,85000000,24,0
C,초기,4,63000000,15,1
D,유력,1,47000000,17,0
A,협의중,5,82000000,13,1
C,유력,4,99000000,19,0
C,협의중,1,102000000,9,0
A,협의중,4,74000000,27,1
B,협의중,2,106000000,3,0
C,협의중,3,97000000,11,0
D,협의중,5,33000000,21,1
A,초기,2,117000000,19,0
D,협의중,4,55000000,13,1
B,초기,4,60000000,18,1
C,유력,5,103000000,34,1
A,협의중,6,110000000,9,0
C,협의중,3,51000000,32,1
C,유력,3,64000000,23,1
A,유력,1,19000000,11,1
A,협의중,4,97000000,20,0
A,유력,2,32000000,28,1
B,유력,6,79000000,29,0
C,초기,6,110000000,6,0
C,초기,5,79000000,31,0
B,협의중,1,105000000,11,1
B,유력,4,23000000,7,1
B,협의중,6,85000000,17,0
C,협의중,5,106000000,9,0
C,협의중,6,104000000,27,1
C,유력,5,24000000,3,0
A,유력,4,39000000,7,1
B,협의중,3,24000000,35,1
C,협의중,2,28000000,32,0
B,초기,4,75000000,23,1
B,협의중,1,69000000,29,1
B,유력,5,97000000,22,0
B,협의중,4,61000000,26,0
C,유력,3,89000000,33,0
B,협의중,1,115000000,17,1
B,협의중,3,88000000,26,0
A,초기,2,109000000,29,1
C,초기,4,45000000,32,0
A,협의중,4,23000000,10,0
B,협의중,5,35000000,34,1
C,협의중,4,92000000,33,0
C,유력,6,92000000,14,0
A,협의중,5,95000000,23,0
B,유력,6,115000000,18,1
D,유력,4,35000000,11,1
C,협의중,3,107000000,23,0
D,협의중,2,44000000,21,0
D,초기,6,101000000,14,0
C,협의중,1,115000000,25,0
B,유력,6,71000000,21,0
B,초기,1,21000000,27,1
C,초기,2,54000000,19,1
A,유력,2,114000000,5,1
B,협의중,6,112000000,17,0
B,초기,6,54000000,6,0
B,유력,6,58000000,6,1
B,협의중,4,46000000,26,0
B,협의중,6,42000000,21,0
D,초기,2,112000000,35,0
A,초기,3,34000000,13,0
B,협의중,6,37000000,5,1
B,초기,6,96000000,22,0
B,협의중,6,58000000,17,0
B,유력,2,71000000,28,1
A,초기,3,60000000,26,1
D,협의중,4,89000000,3,0
B,초기,6,96000000,18,0
C,협의중,1,67000000,19,0
B,유력,3,83000000,35,1
A,유력,2,59000000,35,1
A,유력,5,86000000,3,0
A,협의중,2,105000000,30,0
A,유력,6,117000000,30,1
D,협의중,2,21000000,32,0
A,초기,2,119000000,19,0
B,초기,3,70000000,27,0
B,협의중,4,104000000,10,0
C,협의중,6,92000000,5,0
A,유력,1,55000000,22,1
B,유력,4,68000000,4,1
B,초기,4,119000000,21,0
A,협의중,6,100000000,26,0
A,유력,2,33000000,5,1
B,협의중,1,57000000,16,0
D,협의중,4,100000000,35,0
A,협의중,3,42000000,10,1
C,유력,5,77000000,7,1
A,초기,6,92000000,34,0
B,협의중,2,30000000,21,0
D,협의중,4,60000000,22,0
A,협의중,3,72000000,13,1
A,초기,6,100000000,30,0
B,협의중,3,79000000,32,1
C,협의중,1,40000000,8,0
D,초기,5,43000000,19,0
C,협의중,1,82000000,4,0
B,유력,2,22000000,19,1
D,협의중,2,64000000,28,1
C,협의중,3,35000000,32,0
A,협의중,1,102000000,18,0
C,협의중,2,114000000,35,1
A,협의중,5,102000000,12,0
B,협의중,2,115000000,34,1
B,초기,6,44000000,26,0
D,유력,1,101000000,23,1
D,협의중,3,112000000,19,0
B,협의중,4,64000000,7,1
B,유력,5,69000000,25,0
B,유력,5,18000000,35,0
B,초기,5,100000000,20,0
A,협의중,6,33000000,17,1
B,초기,6,79000000,33,0
A,유력,1,49000000,5,1
B,초기,5,23000000,12,1
B,초기,4,94000000,4,0
C,유력,1,45000000,31,0
B,협의중,2,70000000,12,0
C,초기,6,83000000,19,0
C,유력,5,93000000,7,1
B,초기,2,84000000,35,0
C,협의중,2,78000000,5,0
B,유력,1,79000000,11,0
B,초기,6,101000000,30,0
B,초기,5,72000000,17,0
B,유력,3,93000000,9,1
B,유력,1,54000000,29,1
A,협의중,1,91000000,10,1
B,초기,3,70000000,26,1
B,협의중,3,86000000,30,0
C,유력,4,114000000,16,1
C,협의중,3,89000000,33,0
B,협의중,6,68000000,11,0
C,협의중,4,118000000,13,1
B,유력,5,96000000,6,1
D,초기,1,36000000,33,0
B,초기,2,65000000,8,0
C,유력,4,96000000,21,0
B,유력,2,99000000,34,1
A,협의중,5,54000000,15,1
B,협의중,2,96000000,13,0
B,협의중,2,29000000,20,0
B,협의중,5,43000000,3,0
A,초기,3,110000000,25,0
C,초기,2,76000000,28,0
B,협의중,1,89000000,7,0
B,초기,5,50000000,19,0
D,협의중,2,114000000,24,0
B,협의중,5,21000000,33,1
A,협의중,2,104000000,17,0
B,협의중,5,19000000,19,1
A,협의중,3,27000000,14,1
B,유력,3,41000000,15,1
A,협의중,3,44000000,17,1
A,협의중,2,117000000,9,1
A,유력,4,96000000,3,0
B,초기,4,65000000,23,0
D,유력,3,80000000,14,0
D,초기,2,114000000,11,0
C,협의중,5,22000000,35,0
D,유력,4,33000000,32,1
A,협의중,4,92000000,9,1
C,초기,5,51000000,18,0
D,협의중,2,81000000,30,0
C,협의중,4,53000000,31,1
A,협의중,2,30000000,20,0
B,유력,2,36000000,12,1
A,협의중,2,98000000,23,0
B,협의중,5,24000000,28,1
A,초기,3,78000000,9,1
B,협의중,5,89000000,19,1
B,협의중,6,95000000,15,0
C,협의중,3,63000000,23,0
B,협의중,1,66000000,21,1
D,유력,6,61000000,29,0
B,유력,1,28000000,13,1
B,협의중,6,52000000,28,1
B,유력,3,113000000,31,1
A,초기,6,48000000,19,0
C,초기,2,68000000,9,1
D,협의중,1,21000000,28,0
D,초기,5,37000000,8,0
D,협의중,2,112000000,21,0
A,협의중,2,21000000,5,0
D,협의중,4,77000000,20,0
A,유력,5,40000000,32,1
C,협의중,5,99000000,22,0
B,초기,1,74000000,22,0
B,협의중,1,84000000,11,1
B,초기,4,114000000,33,0
C,유력,5,47000000,3,0
A,유력,4,68000000,18,1
C,협의중,4,46000000,19,1
C,협의중,5,106000000,20,0
C,유력,4,42000000,7,1
B,협의중,5,75000000,20,0
B,협의중,2,24000000,4,1
A,초기,6,74000000,3,1
A,협의중,3,71000000,22,0
B,협의중,6,119000000,5,0
C,유력,1,52000000,28,1
B,초기,3,66000000,3,1
C,초기,4,49000000,5,0
C,초기,6,44000000,33,0
D,유력,2,98000000,5,0
B,초기,4,99000000,22,0
D,유력,2,32000000,18,0
B,초기,3,92000000,10,0
A,유력,5,118000000,33,0
A,유력,2,38000000,34,1
C,유력,6,25000000,6,1
A,협의중,1,34000000,34,1
D,유력,3,74000000,15,1
B,협의중,3,23000000,34,0
B,협의중,4,42000000,14,1
B,협의중,5,88000000,13,1
A,초기,3,87000000,26,0
C,협의중,6,41000000,4,0
B,협의중,3,110000000,7,0
B,협의중,5,105000000,34,0
A,초기,4,100000000,23,1
B,초기,2,40000000,5,0
B,초기,5,100000000,27,0
B,협의중,3,24000000,26,1
C,초기,2,101000000,34,0
C,협의중,6,25000000,26,0
D,협의중,3,119000000,6,0
B,초기,1,56000000,7,0
D,초기,6,47000000,27,0
B,초기,6,40000000,29,0
C,협의중,6,76000000,30,0
A,초기,4,82000000,24,0
B,협의중,3,58000000,23,0
B,협의중,6,59000000,18,0
A,유력,6,50000000,26,0
B,협의중,6,22000000,21,0
B,유력,3,18000000,22,0
A,협의중,6,53000000,35,1
D,초기,1,76000000,25,0
B,유력,2,47000000,19,1
A,협의중,2,111000000,7,0
C,초기,6,107000000,9,0
B,협의중,5,66000000,8,0
D,협의중,4,71000000,10,0
A,협의중,5,19000000,27,1
B,협의중,5,37000000,23,0
A,초기,6,68000000,31,0
B,초기,4,55000000,28,1
B,협의중,6,24000000,28,1
B,협의중,6,34000000,11,1
A,협의중,5,43000000,18,1
B,협의중,6,91000000,8,1
B,협의중,2,59000000,25,0
A,협의중,3,96000000,31,0
B,유력,2,43000000,26,1
C,초기,6,24000000,18,0
D,유력,3,19000000,24,0
A,협의중,1,60000000,16,1
A,협의중,3,88000000,33,0
D,협의중,6,20000000,27,0
C,초기,2,25000000,21,0
C,초기,4,101000000,3,0
C,협의중,6,64000000,9,1
D,협의중,2,66000000,35,0
